Id2,Total; Estimate; Total population,Male; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; AGE - Under 5 years,Male; Estimate; AGE - 45 to 49 years,Male; Estimate; AGE - 50 to 54 years,Male; Estimate; AGE - 55 to 59 years,Male; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Male; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Male; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Female; Estimate; AGE - Under 5 years,Female; Estimate; AGE - 45 to 49 years,Female; Estimate; AGE - 50 to 54 years,Female; Estimate; AGE - 55 to 59 years,Female; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Female; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Female; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Male; Estimate; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
29118,16027,7537,8490,5.8,6.8,9.2,6.9,9.9,37.4,24.1,4.8,6,9.2,7.8,13.1,38.8,20.2,43.7,41.1,263,5667,52716,236520
85716,33137,16741,16396,5.5,5.3,4.8,6.4,11.3,49.9,16.7,5,6.2,6.2,6.5,8.9,47.6,19.5,33.1,36.2,945,10201,74243,312674
52074,377,172,205,8.1,9.9,8.7,7.6,13.4,29.1,23.3,5.9,15.6,6.3,9.3,15.1,33.7,14.1,43.8,40.1,5,13,48,379
33477,13559,6144,7415,0.3,3.8,8.9,6.5,4.6,13.3,62.6,1.5,7.3,4.3,9.9,3.5,13.3,60.3,65.5,65.8,631,6123,59064,244313
33143,32710,16719,15991,6.7,7.7,5.3,7.9,11.3,44,17.1,5.1,6.6,9.5,6.7,12.3,38.2,21.6,37.6,41.5,1633,19385,254469,1070743
25159,5711,2687,3024,6.3,5.2,9,8.1,15.5,38.5,17.3,3.9,4.7,6.9,9.1,13.7,39.2,22.6,36.8,42.9,96,1665,16561,71920
72084,1662,846,816,8,5.2,11.6,5.8,16.8,36.8,15.8,5.1,4.7,6.7,7.2,15.6,41.4,19.2,36.4,37.5,18,277,2782,12347
98674,10973,5473,5500,7.3,7.9,5.8,7.3,14.3,36.5,20.8,4.8,10.4,7.6,7,14.7,35.9,19.7,36.3,40.2,321,3904,39211,169508
96825,29416,14486,14930,4.2,7.6,6.6,6.4,12.7,33.3,29.3,4.4,6.6,7.7,8.1,9.6,30.5,33,44.8,48.9,442,3918,27792,126305
79325,2407,1228,1179,7.5,5,7.1,8.5,13.6,37.5,20.8,7.2,9,9.8,5.5,16.8,32.4,19.3,38.6,38.6,57,268,1894,8506
84646,1949,785,1164,5,4.1,3.2,6.4,21.8,38.2,21.4,9.5,3.5,3.9,6.2,20.1,37.1,19.8,30.7,26.2,27,545,3717,15798
32701,21522,9905,11617,6.9,6.3,9.2,6.9,6.7,42.2,21.7,2.6,8,7.8,6.5,9.8,36.3,28.9,41.5,45.9,996,14213,139712,572738
12720,187,94,93,0,10.6,0,0,14.9,54.3,20.2,0,0,0,11.8,0,76.3,11.8,33.6,24.7,16,201,1833,7640
43319,732,364,368,0,0,12.9,11,6.9,25,44.2,0,9.8,10.1,4.6,4.1,30.2,41.3,56.1,53.3,45,4799,63445,275969
18465,1424,712,712,1.3,12.4,6.7,10.3,9.6,33.7,26.1,2.2,7.4,6.9,9.4,9.7,32.4,31.9,47.5,48.2,17,41,453,2571
8270,8654,4503,4151,6.1,7.2,7.6,11,13.1,34.8,20.1,7.7,7.3,7.7,6.9,12.6,39.1,18.7,42.3,39.3,126,887,6522,32995
2543,843,320,523,6.3,7.8,7.5,3.4,10.3,30.9,33.8,3.6,6.1,4,7.3,9.6,32.9,36.5,47.4,49.3,47,1536,23489,100623
16732,380,218,162,0,2.8,24.3,17,7.3,24.8,23.9,4.3,3.1,14.8,11.7,3.1,21,42,51.9,55.8,5,35,156,558
38773,3121,1580,1541,5.1,7.2,7.5,8.9,10.9,42.3,18.2,3.2,9.8,7.8,7.6,11.2,31.6,28.8,36.6,46.7,27,121,834,3343
43547,355,174,181,0,0,8.6,9.8,6.9,22.4,52.3,0,0,9.4,11.6,12.2,21,45.9,64.4,59.3,9,30,190,1350
18960,12386,6081,6305,3.3,8.3,10.3,8.6,14,33.2,22.2,4,7.2,10.4,7.5,9.4,32.9,28.7,44.1,47.7,270,5364,61321,258215
10533,7487,3668,3819,7.7,7.8,9,12.4,20.9,27.1,15.1,2.6,10,14.9,6.5,11.4,34.1,20.5,40.6,46.1,241,1821,27310,119306
61938,22070,10666,11404,5.2,7.3,7.2,5.9,12.9,39.3,22.1,6.4,5.9,7.5,5.2,11.1,35.8,27.9,39.1,41.3,597,12052,117679,512347
37181,1533,722,811,13.2,5,12.6,5.5,11.2,31.7,20.8,8.9,11.8,9.5,3.7,7,33.4,25.6,36.7,45.3,16,79,395,1939
75705,2185,994,1191,4.5,6.7,5.6,19.1,10.4,32,21.6,6,22.1,12.5,11.5,4.8,24.7,18.5,45.6,48.9,23,371,3651,14620
1020,30952,15472,15480,5.5,8.3,6.6,10.2,11.1,36.5,21.9,4.3,6.6,7.8,8.1,9.8,35.5,27.8,41.7,45.4,542,8768,75616,339382
82217,130,98,32,16.3,0,12.2,9.2,57.1,0,5.1,0,0,31.3,0,0,31.3,37.5,11.4,54.6,4,6,15,86
49252,2505,1252,1253,5.4,7.7,11,8.5,11.8,34,21.5,7.1,8.6,9,6.4,11.6,34.4,22.9,44.1,42.3,57,2021,30774,106246
63436,1121,585,536,1.9,11.5,10.9,8.7,14.9,30.3,21.9,2.1,4.5,12.7,2.8,14.4,33.2,30.4,49.2,46,27,140,1007,4572
3276,8350,4398,3952,6.9,8.2,9.7,6.8,9.5,33.8,25.1,5.4,7.1,8.1,10.2,11.6,33,24.6,44.9,45,286,5025,38504,170761
3446,6149,3069,3080,6.5,10.9,8.3,9.4,7.8,35.7,21.2,6.3,11.7,5.9,5.2,12.5,32.9,25.5,45,43,105,1487,11353,56663
78372,6522,2841,3681,7.7,3.9,6.8,3.2,21.9,38.3,18.2,10.9,5.8,7.2,4.2,21.2,39.1,11.7,30.9,29.1,76,599,6286,23939
72758,38516,19215,19301,9.1,6.2,5.3,6.4,17.8,44,11.1,9.8,6.5,5.4,6.2,14.4,43.3,14.4,31.5,32.6,825,13340,154203,605269
23356,1221,643,578,5.3,5.3,0,14.5,9.2,37,28.8,8,13.8,0,0,12.3,28.2,37.7,42.6,49.1,9,57,348,1648
37331,7868,3886,3982,4.5,5,9.6,9.4,13.8,32.7,25.1,2.8,7.8,10.4,1.8,17.1,30.4,29.7,44.4,44.7,120,2596,23143,97328
66763,3389,1687,1702,3,8.2,5.6,6.3,19.6,41.1,16.2,3.7,8,4.1,4.2,15.7,33.9,30.4,36.7,42.2,66,808,5447,24138
1608,3275,1480,1795,9,5.1,8.2,3.4,11.8,50.1,12.4,11,2.7,4.1,3.8,15.6,55.8,7,28.2,26.4,527,13987,216088,851899
11211,97772,48887,48885,11.2,4.7,4.4,3.6,11.5,55.1,9.6,9.5,3.8,3.9,4.3,11.4,54.2,12.9,30.3,30.3,2979,33589,244945,1095279
29745,30659,14908,15751,7.9,8.2,8.6,8.6,12.3,38.9,15.5,6.3,8.5,8.3,6.5,12.6,37.5,20.3,38.6,41.6,433,6051,83684,290897
95918,1905,1057,848,8.5,6.4,10.5,11.4,1.5,14.8,46.9,0,10.3,13.2,11.1,3.4,21.6,40.4,57.4,55.9,31,117,1003,4868
18014,11493,5759,5734,5.7,8.5,4.9,8.7,14.7,29,28.5,3.1,5.7,5.9,7.2,12.5,32.3,33.4,45.7,47.5,262,2240,19656,102889
68132,14402,7208,7194,5.9,5.6,5.2,7.6,11.7,48.3,15.6,6.7,5.2,6,7.8,11.4,49.4,13.5,34.6,30.5,271,3206,22807,96038
26104,16530,7998,8532,7,5.2,6.4,8.4,12.5,35.7,24.8,4.3,6.2,6.8,8.6,9.4,35.4,29.3,41.3,45.7,287,3485,30346,132314
85739,17621,8409,9212,3.3,4.3,4.5,4.8,4.2,20,58.9,3.4,2.5,4.6,5.3,7.5,19.1,57.6,65.4,63.2,205,1793,13588,57074
71652,1097,573,524,7.2,2.6,10.8,6.5,10.8,30.5,31.6,3.8,2.7,8.4,3.2,12.6,38.9,30.3,46.1,42.4,11,61,405,1550
82225,2094,914,1180,9.3,6,5.3,8.5,12.3,32.8,25.8,4.6,5.2,9.3,9.2,6.4,44.3,21,39.3,40.8,77,362,2403,10602
91710,84812,47855,36957,6.2,8.3,8.3,6.2,11.4,46.5,13.1,7.5,5.8,7.8,6.7,12.5,44.7,15,35.6,35.2,2471,35644,343818,1470297
1344,1559,786,773,5.6,7.3,8.3,9,10.9,40.8,18.1,2.1,9.1,7.6,6.9,17.9,34.3,22.3,39.7,41.5,20,255,2085,10341
62466,6940,6032,908,1.5,11.2,8.7,5.2,1.5,67.1,4.9,11.9,10.9,8.9,4.8,10.5,28,25,34.1,44.8,44,185,1282,5884
55128,28642,13840,14802,6.6,7.2,8.7,7.2,14.7,38.1,17.6,4.3,7.8,9.2,8.3,12,38.3,20,36.1,40.6,645,9835,126127,502247
22716,1143,643,500,1.7,9.3,1.1,6.2,19,39.2,23.5,0,2,10.4,4.4,21.8,34.4,27,36.8,40.6,15,34,318,1813
41815,886,534,352,27,3.6,6.4,3.2,13.3,43.6,3,0,0,34.7,4.3,5.4,45.7,9.9,30.1,44.8,5,17,142,960
76013,30855,14842,16013,6.5,6.4,7.9,5.3,9.2,48.6,16.2,6.2,5.5,8.7,5.6,10.5,40.4,23.2,31.5,36.8,944,9436,75645,327119
4090,9869,4915,4954,4.4,4.2,11.4,9,9.5,29.1,32.4,1.4,7.8,7,11.2,7.2,24.9,40.4,50.6,56.1,333,2416,17772,90760
12779,2369,1177,1192,11.3,6.9,1.6,3.1,22.5,36.8,17.8,8.6,7.5,3.3,6.1,19.5,44.2,10.7,26.3,30.7,60,1566,10326,45185
63751,1303,717,586,3.8,16.9,10,5.6,21.2,23.3,19.2,4.4,23.2,10.9,7,5.8,30.5,18.1,46.9,46.7,18,44,128,586
23459,1144,663,481,18.6,0,0,0.6,16.6,64.3,0,19.3,1,0.4,1,16.8,60.3,1,21.2,26.3,33,219,2734,9569
4348,3065,1499,1566,5.7,7.4,11.4,8.5,11.9,30.6,24.5,3.2,7.5,11.9,5,9.5,35.8,27.1,47.3,45.8,51,301,2626,10828
96130,21456,15368,6088,2.5,7.3,6.5,4.6,5.6,63.8,9.7,7.7,7.4,5.8,7.5,11.6,36.5,23.4,33.1,40.6,296,2971,22828,97274
71368,1278,637,641,6.4,5.3,6.9,6,13.7,34.2,27.5,7.2,12.8,11.4,4.1,15.6,20.7,28.2,40.6,46.3,17,106,842,3577
48419,2409,1183,1226,4.1,7.4,10.7,6.4,11.7,30.9,28.7,6.2,5,8.5,8.5,10.9,31.9,29,46.2,46.8,31,120,923,3823
47429,8910,4167,4743,8.9,5.3,7.1,5.1,13,42.1,18.6,7.7,5.6,7.2,8.1,14.2,34.6,22.6,35.8,37.1,86,922,6871,29585
94937,782,340,442,4.1,8.5,11.5,16.8,3.8,16.8,38.5,0,5.7,8.6,11.5,5.4,20.1,48.6,57.3,59.7,35,141,1752,7238
42519,2841,1529,1312,1.8,6.1,13.1,5,10.9,42.4,20.7,2.2,6.7,9.5,11.4,10.4,30,29.7,41.9,50.7,30,286,2631,11907
26866,833,365,468,3.6,1.9,3.3,6,4.4,30.7,50.1,7.3,1.7,3,12.4,19.2,19.2,37.2,60.1,52.8,8,17,72,321
62481,391,166,225,23.5,1.2,4.8,7.2,1.8,32.5,28.9,8.9,3.6,9.8,6.7,10.7,29.8,30.7,37.3,46.8,4,6,50,209
90260,35866,18491,17375,7.3,8.5,7.2,4.2,16.2,45.2,11.4,8.6,6.1,7.8,4.9,11.9,45.2,15.5,32.6,34.6,526,4738,34368,151335
73703,28832,14284,14548,7,4.2,7.2,6.3,13.3,40,22.1,7.9,4,6.5,7.9,12.8,34.6,26.3,35.8,38.7,730,8533,63830,264405
63117,9113,4528,4585,6.1,7.7,9,6.2,9.8,44.5,16.7,5.2,6,6.9,7.7,8.7,43.4,22.1,38.3,37.2,657,10429,94161,417488
81146,611,328,283,6.1,11.6,2.4,4,20.4,31.7,23.8,11.7,3.5,6.4,2.8,11.3,39.2,25.1,38.3,36.4,12,49,454,2077
35010,21153,9890,11263,4.9,7.3,5.7,7.9,13.2,36.4,24.6,7,5.4,6.4,7.9,14.4,36.6,22.3,41.5,39.6,443,6631,48202,208174
92570,56738,28786,27952,6.8,5.5,6.6,6.6,15.8,45.9,12.8,7.8,6,7.4,5.2,17.3,42.4,13.9,29.8,30.3,420,7083,56010,237319
58763,4213,2221,1992,8.1,7.5,5.9,7.9,17.2,41.7,11.8,7.9,6.2,8,8,14.9,44,10.9,32.1,30.9,158,1962,31373,110898
93202,3744,1873,1871,5.6,7.6,6,5.2,19,43.4,13.3,5.7,6.3,4,4.1,23.7,44.4,11.9,27.6,31.2,24,189,1382,6758
68815,597,303,294,6.6,9.6,8.3,9.2,15.2,33,18.2,8.8,9.2,7.5,4.8,13.3,34.7,21.8,41.1,34.4,20,88,665,4057
1450,11120,5523,5597,5.2,8.9,10.9,9.1,15.2,32.6,18.2,4.5,10.4,10.5,10.3,15.8,28.5,20,43.1,45.5,211,2118,18885,82125
27023,12630,6181,6449,5.7,6.1,11,9.6,15,28.8,23.8,4.3,9.2,6.4,10.5,14.4,29.7,25.6,45.3,46,210,2604,15314,67379
64746,1509,645,864,8.1,12.7,9.3,5.7,9.1,28.5,26.5,8.7,6.8,8.3,3.8,10.4,34.7,27.2,46.7,42.2,19,73,937,3608
90631,69151,33328,35823,6.7,7.1,6.8,6.5,13.5,44.2,15.3,7.4,6.7,7.1,5.7,13.2,40.3,19.7,34.6,35.4,1243,14098,115568,489879
19312,11766,5541,6225,3.1,9.8,10,6.4,19.6,24.6,26.5,2.7,9.2,9.5,7.7,15.8,29.6,25.7,45.9,46.3,502,10026,287988,1115837
49325,1739,904,835,8.3,7.1,7.9,6.9,16.3,39.2,14.5,7.5,5.6,12.9,4.6,19.6,35.4,14.3,34.4,35.8,35,227,1834,7621
46075,4091,1963,2128,9.4,6.3,2.1,4.6,20.2,46.5,10.9,9.1,5.5,5.5,7.5,18.3,44.1,10,29.8,31.8,131,4999,44603,196668
32438,3839,1955,1884,2,6.9,9.7,8.4,17.8,33.3,21.8,11.4,5.9,6.2,9.4,7.2,36,24,42.5,42.7,18,89,477,1940
29180,13943,6644,7299,6,6.9,8.5,7,12.1,35.7,23.8,5,5.9,7.5,6.9,12.3,34.5,27.9,41.5,43.7,185,2125,15464,67000
63966,2511,1334,1177,4.9,7.9,5.7,8,6.6,33,33.9,1.4,6.7,9.9,5,8.3,29.1,39.4,48.2,50.7,35,234,676,3217
22812,8770,4093,4677,4.2,5.8,6.5,8.5,11,40.3,23.6,3.6,6.8,6.3,6.2,10,39.6,27.5,38.3,42.3,144,3856,38445,155346
96142,706,285,421,6.7,4.6,9.8,13.7,18.6,10.2,36.5,2.4,6.4,5,7.1,11.9,48.2,19,56,33.4,29,87,728,3603
62996,407,203,204,0,3.4,0,15.3,11.8,31.5,37.9,3.4,3.4,17.6,14.2,4.9,38.7,17.6,58.3,45.9,5,9,31,121
72176,9438,4486,4952,4.7,8.6,6.9,4.5,18.3,47.4,9.5,7.8,5.1,6.3,4.8,15.2,48.9,11.9,31.3,30.7,36,218,1441,6313
41512,843,458,385,0.7,4.4,15.1,7.2,4.8,42.8,25.1,2.9,8.6,8.3,10.1,15.6,27.8,26.8,47.5,49.1,10,33,252,995
62056,8862,3999,4863,10.5,4.5,3.5,9.7,13.1,31.8,27,5.4,7.8,7,8.7,9.7,33.8,27.7,36.6,46.3,287,3672,30452,121887
87732,1389,674,715,12.8,1.9,8.8,6.5,9.9,44.2,15.9,5.3,3.1,3.5,3.5,4.8,60.1,19.7,28.8,36,23,205,1364,5707
39114,9860,4353,5507,5.6,4.8,8.8,7.1,12.8,40.6,20.3,7.4,6.5,8.1,6.1,14.2,37.3,20.5,36.4,39.2,126,1381,9822,42245
59349,1107,585,522,5.6,3.8,4.8,12.3,13,26.3,34.2,5.4,5.4,6.1,7.1,15.9,22.6,37.5,52.5,50.4,32,123,802,3493
14215,39501,17652,21849,7.5,5.4,6.7,5.6,14.2,45.7,14.8,4.8,6.8,6.5,8.2,13.5,42.7,17.4,27.5,35.4,413,9239,128380,524780
36793,552,296,256,0,0,19.9,19.3,22.3,7.8,30.7,0,3.5,0,4.7,6.3,32.8,52.7,54.5,62.4,5,31,186,473
88344,43,34,9,0,0,0,0,0,0,100,0,0,0,0,0,0,100,-,-,3,5,59,97
6855,7694,3832,3862,4.2,10.7,5,7.3,8.1,45.8,18.7,4.1,7.5,7,10.5,8.2,36.4,26.4,39.6,45.6,294,3225,51279,235353
1038,2794,1335,1459,4.8,7.6,9.7,8.8,8.5,32.7,27.9,2.8,7.3,14.3,12.8,8.4,28.8,25.5,47.5,50.6,68,1358,28790,78389
29810,4666,2163,2503,9.8,2.9,2.1,7.5,14.9,38,24.7,2.9,6.4,7.3,11.6,14.7,34.4,22.7,32.5,44.3,68,616,5971,23516
35133,3399,1630,1769,5.1,6.9,11.3,4.5,17.2,34.5,20.4,2.7,4.6,8.4,9.5,16.5,37.6,20.6,39.9,42.3,32,203,1243,5390
68718,1724,879,845,4.6,6.9,8.9,5.9,13.1,26.2,34.5,5,5.9,5.6,7.6,8.6,23.4,43.9,49.6,55.6,61,400,2885,10795
28719,8335,3514,4821,9.5,7.6,6.7,5.8,17.3,38.5,14.6,8.3,6.6,4.4,5.2,15.5,42.8,17.3,33.3,31.4,137,4057,31538,158397
2802,1079,557,522,17.6,17.8,0,5,7.7,38.4,13.5,8,16.7,2.7,6.7,5.7,45.4,14.8,29.2,26.7,12,75,293,1963
4238,1564,816,748,2.2,5.3,10.4,8.7,14.2,47.1,12.1,2.9,10.6,8.6,6.3,11.2,48,12.4,34.8,37.4,23,184,1551,6741
28075,16936,7909,9027,6,8.6,6.8,7.9,17.1,37.5,16.1,4.8,10.1,6.7,5.2,18.6,37.4,17.3,39,37.7,395,4139,32885,146818
1341,1711,838,873,0.4,6.4,14.2,10.6,18.3,24.5,25.7,1.6,7.3,10.4,11.7,14.9,27.9,26.1,50.2,47.2,23,106,870,4187
63106,11998,4504,7494,11.7,5.3,5.1,4,28.4,33,12.5,9.5,3.9,7.2,4.3,21,41,13.2,19.8,27.4,430,5208,51459,219450
10950,49065,23947,25118,12.6,4.8,5.3,4.8,21.7,40.4,10.5,13.8,5,5.9,5,24.7,34.8,10.8,23,23.4,1217,10617,66427,290786
58249,2475,1243,1232,5.6,5.6,7.1,12.6,12.6,30.6,26.1,6.7,5.4,7.3,14.5,9.2,24.5,32.4,46.1,52.9,120,1033,7444,34315
69101,29656,14582,15074,7.4,5.5,6.9,8,15.2,37,20,6.3,5.7,7,8.4,13.6,35,24.1,36.9,40.1,864,10457,84895,361365
10469,72732,32884,39848,5.8,6.9,7.3,6.4,13.8,41.6,18.1,4.7,7.5,8,6,10.9,40.6,22.3,35.9,40.1,675,7659,68641,301596
23040,4471,2175,2296,7.4,9.3,6.3,6.1,11.3,36.1,23.5,0,11.5,8.3,9,15.1,32.8,23.2,38.8,45.5,72,449,3187,12623
38328,672,342,330,7.9,7.3,3.8,8.2,16.4,36.3,20.2,12.1,7.3,0,7.6,14.5,33.9,24.5,39.7,30.9,3,21,141,620
33847,184,93,91,10.8,12.9,0,7.5,6.5,46.2,16.1,6.6,6.6,6.6,9.9,22,30.8,17.6,21,24.4,7,17,189,772
14059,9814,4863,4951,0.9,8.5,6.7,13.6,11,26.7,32.6,6.7,7.2,11.3,9.2,8.2,25,32.5,51.6,50.7,244,3280,37128,153765
85262,10385,5404,4981,3.8,8.6,8.7,7.5,7.1,19.2,45.1,2.7,8.5,11.9,9.5,4.3,24.1,39,56.4,54.3,420,3653,32495,131889
87401,45830,22556,23274,7.5,5.9,6.7,5.1,16.3,43.8,14.7,8,5.6,6.4,6,16.5,39,18.6,30.8,33.5,1418,21470,232870,936552
13489,644,317,327,4.4,6.9,14.2,9.5,10.1,34.4,20.5,8.6,9.2,9.2,9.2,10.4,33.3,20.2,46.2,43.8,8,27,150,623
41214,586,295,291,0,3.7,0,14.2,21,39.3,21.7,5.2,16.2,15.5,4.8,16.8,14.4,27.1,35.5,48.8,15,430,9497,29364
46555,2875,1552,1323,5.2,2.8,10.5,12,12.4,38.2,18.9,6,7.6,15,4.6,12.8,28.6,25.4,41.3,46,108,758,4433,19844
43430,4895,2435,2460,5.3,6.7,8.4,6.9,8.6,36.2,27.9,5.6,7.5,9.6,8.4,12.9,29.3,26.8,44.8,46.5,98,1267,8633,39141
19444,10787,5029,5758,6.4,6.2,5.3,9,15.5,33.7,24,4.9,7.1,6.4,7.4,8.8,30.7,34.8,41.1,48.9,225,3380,34979,159112
50648,4366,2189,2177,8.3,5,7.8,7,14.9,39.5,17.4,7.3,8.4,6.2,6,18.9,36.1,17.2,33.2,33.9,84,619,5586,23083
22181,15702,7837,7865,8,6.7,6.8,6.8,15,35.2,21.5,5.2,7.3,8.6,8.3,16.1,34.8,19.8,39.5,40.2,191,798,9806,44157
98274,16921,8231,8690,7.3,7.1,7.6,7.1,10.7,33.3,26.8,7.2,6.4,6.1,7.8,10.8,32.2,29.5,44,44.8,271,3693,47052,219632
44120,34696,15946,18750,5.3,5.7,7.6,7.5,13.7,40.3,20.1,5.4,6.5,7.2,8.1,11.6,35.4,25.8,38.1,42.9,457,5378,34669,148981
54806,11621,5799,5822,4.6,8.2,7.7,7,11.9,38.1,22.6,5.9,6.5,8.4,7.3,11.3,35.3,25.3,41.3,43.4,385,5513,45933,201291
79229,312,161,151,6.8,5.6,13,6.8,2.5,30.4,34.8,1.3,12.6,6.6,17.2,4,10.6,47.7,51.8,59.6,5,38,121,512
7461,19305,9564,9741,5.8,7.4,8.3,9.2,13.6,35.2,20.6,3.9,9.5,8.3,8.6,12.9,34.7,22.1,42.6,44.2,292,1997,17087,74847
30316,31648,15292,16356,8.4,7,7.1,7.3,7.4,50.2,12.6,7.2,7.3,7.5,5.7,5.3,51.6,15.5,36.2,36.1,598,8786,78508,326175
20714,4394,2060,2334,5.6,3.4,8.6,6.5,12.5,42.1,21.3,5.7,10.6,5.8,9.8,10.9,36.8,20.5,40.1,41.2,41,404,2495,13241
18810,5792,2783,3009,5.8,4.4,10.9,6,13.2,32.3,27.5,7.5,6.9,8.3,8.3,9.3,33.8,25.8,44.4,44.2,110,802,4487,21518
25186,1041,469,572,11.9,1.7,2.8,4.7,10.7,43.3,24.9,5.6,5.6,5.9,10.5,12.8,36.5,23.1,28.9,43.3,17,199,1060,4682
67063,3726,1835,1891,3.7,7.5,6.8,9.6,10.1,37.4,24.9,5.1,4.5,7.5,7.6,10.5,37.9,27,42.9,42.3,111,1498,8253,34060
39503,50568,25248,25320,8.3,5.3,6.6,5.9,16.4,42.9,14.5,8.2,6.6,6.1,7.8,12.6,42.5,16.2,31.9,34.2,995,17143,143884,570057
12047,19837,9483,10354,6.4,5.7,8.4,7.7,11.7,40.7,19.4,5.7,5.5,8,7.3,8.9,38.5,26,37.5,42.2,323,4148,44258,199580
19971,12254,6198,6056,2.4,8.2,9.2,9.2,5.2,21.3,44.4,1.6,6.4,9.4,9.9,3.6,24.6,44.4,56.9,57.2,925,9984,54693,291238
17851,7576,3397,4179,2.3,7.2,4.6,8.5,11.2,34.4,31.9,4.5,6.6,7.1,8.7,9.2,27.8,36.2,46.1,52.1,119,1349,9472,39491
54911,26154,12573,13581,6.1,7.1,6.6,7.5,11.2,44.3,17.1,4.2,5.2,8.4,6.1,10.6,42.4,23.2,35.3,37.8,975,22379,251520,1018966
56686,1071,597,474,10.1,7,9.4,7.4,11.1,25.8,29.3,4.4,2.3,16,9.9,13.9,28.1,25.3,46.3,50.8,19,119,794,3308
73025,13160,6569,6591,3.9,7.6,9,7.5,17.8,37.6,16.6,5.8,9.8,10.4,6.2,18.3,33.3,16.2,39,40.6,192,925,7051,33588
87013,4632,2364,2268,8.7,6,5.7,4.4,16.6,41.8,16.9,8.7,5.6,8.5,5.7,17.3,38,16.1,29.2,33.2,55,454,2836,12320
43228,55335,26023,29312,10.8,5.2,6,4.2,14,47.8,11.9,10.3,5.6,4.5,6.4,14.2,45,13.9,31.3,30.9,1250,39000,443415,1738762
54486,2396,1233,1163,6.1,7.3,8.4,9.6,8.7,34.2,25.8,4.3,8.2,8.1,8.8,12,31.7,27,45.7,46.6,43,248,1366,6489
93449,7890,3598,4292,5.6,5.6,10.7,7.7,7,29,34.3,5.5,2.6,6.4,10.8,11.8,30.3,32.6,51.3,49,386,4476,25769,117043
3450,933,474,459,5.7,13.7,4,11.4,5.9,20.3,39,2.6,9.2,6.1,12,7.8,20,42.3,55.2,56.8,17,86,637,2910
55065,1138,571,567,2.6,8.6,11.4,7.9,15.9,36.3,17.3,8.5,9.9,10.9,7.4,11.8,34.6,16.9,42.1,41.8,29,106,935,4822
94553,49256,24055,25201,5.1,7.3,9,8.9,10.7,39.3,19.7,4.1,7.6,9.7,9.4,10,36.9,22.3,41.3,44.3,1051,15056,273803,939857
79410,9273,4706,4567,7.5,4.4,4.4,3.2,9.3,58.4,12.8,6.9,4.4,4.6,5.1,6,54.1,18.9,23.7,27.4,421,8830,111839,467650
71658,732,370,362,19.7,8.6,1.4,3.8,13.8,34.6,18.1,18,1.4,7.7,8.6,10.8,36.5,17.1,26.2,31.5,4,51,525,2415
67202,1438,919,519,0,4.8,12,9.4,0,68.2,5.7,0,7.1,3.3,2.1,3.1,65.5,18.9,33.5,29,816,13581,166829,653002
55725,112,47,65,6.4,4.3,19.1,14.9,2.1,23.4,29.8,1.5,6.2,6.2,49.2,0,10.8,26.2,53.3,59.4,15,40,181,1543
29374,3195,1607,1588,6.5,6.1,13.9,5.8,13.1,35.2,19.4,1.4,7.6,9.4,5.4,10.2,39.8,26.3,42.5,43.2,48,167,1064,4263
77009,39260,20586,18674,8,6.8,7.1,7.4,13.4,45,12.2,6.5,5.9,7.8,6.2,11.2,45.4,17,32.9,35.6,728,7344,56771,240150
77437,17202,8492,8710,6,5.9,6.7,6.8,19.2,37.3,18.2,7.6,6.6,6.2,6,16.7,34.9,22,31.9,36.3,501,5925,53752,211031
68651,1420,682,738,6.5,8.8,8.4,11.4,14.4,27.7,22.9,3.1,8.8,7.6,6.4,17.5,28.7,27.9,46,45.8,51,320,2164,9516
85706,55778,26631,29147,9.9,6.1,5.8,4,18.6,44.6,11,7.9,5.7,5.4,4.1,18,45.5,13.5,26.5,29.2,658,24236,393521,1539779
2861,26225,13233,12992,5.9,9.3,6.9,7.4,13.6,39.7,17.3,5.8,6.9,5.9,9,11.6,38.8,21.9,38.5,41.5,425,5557,54567,251429
53704,45130,21871,23259,7.4,6.2,7.6,6.9,10.9,45.8,15.2,6.7,6.4,8,6.6,9.7,43.4,19.3,35.4,38.2,1158,26596,291784,1122634
20776,3344,1520,1824,5.9,9.1,8.5,6.4,14.9,31.4,23.8,3.1,3.5,14.3,6,16.9,31.3,24.9,43.6,43.9,60,488,4732,23964
50107,1186,592,594,4.6,3.7,8.8,5.6,15.2,40.9,21.3,4.7,8.8,5.4,8.8,12.5,37.2,22.7,40.7,40.7,13,145,1879,7490
15204,9028,4436,4592,8.5,6,8.4,7.7,15.7,38.9,14.8,7.4,6.1,7.9,7.7,12.1,35.5,23.3,33.3,40.7,71,577,7771,32822
23004,820,463,357,5.6,11,15.8,5.6,9.3,32.6,20.1,0,17.9,14.8,9.8,3.6,27.5,26.3,46.2,50.1,10,117,1533,6549
