Id2,Total; Estimate; Total population,Male; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; AGE - Under 5 years,Male; Estimate; AGE - 45 to 49 years,Male; Estimate; AGE - 50 to 54 years,Male; Estimate; AGE - 55 to 59 years,Male; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Male; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Male; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Female; Estimate; AGE - Under 5 years,Female; Estimate; AGE - 45 to 49 years,Female; Estimate; AGE - 50 to 54 years,Female; Estimate; AGE - 55 to 59 years,Female; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Female; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Female; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Male; Estimate; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
85704,30411,13969,16442,4.7,6.4,7.2,7.3,8.6,33.7,32.1,4.2,6,6.1,7.5,9,31.3,35.8,47.5,49.5,1156,14948,141526,610617
6331,5097,2475,2622,4.1,7,8.6,10,12.8,34.1,23.3,1.4,9.2,8.6,8.4,20.9,30.6,20.9,44.5,43.3,59,423,3238,13405
12487,3326,1656,1670,1.4,7.8,9.6,5.2,8.7,42.1,25.2,0.7,10.8,4.1,6.5,15.4,36.9,25.6,42.8,43,31,89,770,3864
97054,1701,756,945,4.5,8.9,9.5,11.9,7.3,36,22,2.5,8.5,5.2,10.1,10.3,28.1,35.3,45.4,50.7,17,74,708,3229
89014,38213,18126,20087,6.3,7.5,7.8,6.3,12.6,45.2,14.3,4.8,8.2,7,6.3,10.2,47.9,15.6,34.6,34.7,1339,21975,199462,840906
22576,1616,813,803,5.4,12.8,13.3,6.4,12.3,20.4,29.4,2.1,1,9.8,10.2,12.3,28.6,35.9,49.6,53.4,23,81,484,3424
50861,329,160,169,3.8,3.8,5.6,21.9,18.8,24.4,21.9,3.6,8.9,5.9,4.1,27.8,29.6,20.1,49.8,36.2,4,5,25,225
76066,3280,1808,1472,5.5,3.4,12.3,4.5,12.6,36.3,25.4,3.6,6.5,10.2,10.2,8.8,32.6,28.2,41.8,48.6,53,744,8851,34346
91702,61170,29618,31552,6.4,6.3,5.4,4.9,13.6,52.2,11.2,6.4,5.9,6.2,4.4,13.3,49.4,14.5,28.6,29.8,798,18879,225068,902118
95307,42208,21706,20502,8.6,7,5.8,4.5,18.2,42.1,13.7,7.7,5.9,6.4,5.5,14.6,43.7,16.3,30.5,32.9,502,7004,67613,285068
97355,28386,14120,14266,6.3,7.9,6.8,6.3,12.3,36.2,24.2,6.3,7.7,6.5,8.7,9.5,32.6,28.7,40.6,46.2,495,6939,57441,244067
60957,5421,2751,2670,6.5,7.6,9,8.2,12.6,35.2,21,4.5,6.2,9.3,9.6,8.1,28.8,33.6,39.9,50.9,152,1367,9877,41885
18403,7178,3538,3640,3.6,9.8,7,8.5,15.6,36.3,19.1,3.1,6.6,10.4,5.2,14,35,25.6,40.6,43.5,174,1836,15137,63155
68317,1632,876,756,7.5,5.7,8.1,10.2,11.3,37.4,19.7,7.9,7.4,6.2,11.9,17.2,31.3,18,41.1,38.6,36,304,2480,13871
6118,26492,12592,13900,5.6,6.8,8.5,6.4,11.6,39.5,21.5,5,7.3,7.6,6.6,11.9,37.3,24.1,39.1,41.8,265,10376,263169,1054097
52731,827,425,402,7.8,10.8,10.1,7.3,9.9,33.6,20.5,7,7,6.2,13.9,13.2,34.3,18.4,43.9,42,14,50,731,1682
28740,1415,721,694,4.6,10.8,8.6,6.1,15.8,39.1,15,1.2,9.4,6.8,4.2,14.4,50.3,13.8,41.5,40.2,12,24,188,857
62664,2943,1378,1565,6,4.2,11.9,6.5,12.6,33.2,25.7,4.7,6.4,8.2,7.4,9.8,31.2,32.3,43.8,47.7,58,428,2780,11845
33713,31421,16060,15361,6.4,7.4,7.9,6.9,9.2,42,20.1,4.3,8.8,8.1,7.2,8.7,42.2,20.8,39.6,41.7,867,9679,79761,336193
47384,1984,1098,886,2.6,7.4,4.3,6.5,17.6,39.5,22.1,2.1,6.2,7.7,3,15,39.4,26.5,40.6,40.4,22,73,449,1945
72512,2322,1092,1230,4.4,5.7,13.3,8,5.9,20.3,42.5,1,6.1,8.4,9.1,5.9,26.7,42.8,56,55.7,41,229,1192,4777
11209,70803,33481,37322,5.9,7,7.6,7.5,10.4,43.3,18.2,6.1,7.1,6.9,5.9,9.6,40.7,23.7,38.6,40.1,1988,14466,139699,593505
75050,41765,20847,20918,8.1,7,5.5,4.6,14.3,50,10.5,8.3,6.4,5.7,5.2,14.4,47.3,12.7,30.8,30.5,1242,34366,472381,1739900
5761,1015,521,494,5.4,9,3.8,9.4,12.5,30.7,29.2,5.9,7.1,6.5,13.4,10.9,32,24.3,45.7,45.4,28,121,684,3514
92663,22629,11692,10937,3.1,5.5,6.6,7.5,8,48.4,20.9,2.3,6.7,7.4,8.3,6.6,41.5,27.1,38.1,44.8,1233,10674,110464,527117
37709,3649,1874,1775,4.7,7.6,6.8,9.2,14.7,36.2,20.8,3.3,8.1,12.8,6,10.6,36.2,23,41.8,44.9,37,235,1221,6586
68431,304,195,109,2.6,3.1,3.1,8.2,7.7,35.4,40,0,3.7,10.1,5.5,13.8,22.9,44,52.3,54.9,9,33,148,765
54230,4765,2483,2282,5.8,8.1,12.1,7.5,14.9,33.2,18.4,4.6,9.7,7.6,9.4,14.9,34.5,19.3,42.1,42.3,62,453,2962,14678
28904,8351,3909,4442,4.7,5.7,7.6,9.5,10.6,26.6,35.3,3.8,3.9,5.4,8.4,9.5,29.1,39.8,51.6,53.7,196,1511,8704,38710
10973,2603,1387,1216,0.3,9.4,11.8,7.1,18,40.8,12.7,7.9,12,6.3,12.3,7.4,41.4,12.7,33.8,44.1,56,381,9666,25137
20624,1206,640,566,3.6,8.9,12.7,13.9,12.5,30.8,17.7,1.1,11.7,11.5,5.8,5.3,38.3,26.3,46.3,48,27,110,960,4519
